"address","amount"
"erd1t7wf6224vqk90swzwedv5j5tlxcq25vcftjcaeag9vx8lgdf8zlqj7mj3l","10"
"erd1r0y5x6nwp2vq7qnk48hfytxfrjju8vz2pdlegsndt03a7xxtx4zqz7n7qp","10"
"erd1p3c8plg3tsmjlzz0qw2w9pj2k2ff0n9aerlse3cjzcuhqxa8fftse9tvvg","10"
"erd1jg7a3ttctdy2l9gaf8dykm025293l39eryuqc2kanh65avqgtm5s5kzun3","10"
"erd1dqmyl78xly3zmuzcxysjq96daknhtcgqlhfvf7h03yp3r0e93ndq656xn9","10"
"erd1zl5htwd7jky9f7u55klulsnqltpezsa0x7pl50n8qatrywc7yg4s2pjgu9","10"
"erd1p8y2pnlst45zcjlqtpju3q0gqqeqy3u0zs2elgx9vzmjec8xxfasz6265a","10"
"erd1ck4gdph200mjzgryc9cwv8g7khc3wekgwyw654xgyjwv9cqen8msf3x7xz","10"
"erd1emphwk0qhns4sfy6t3n9xxw6rmduznfvp4aygpyfydtkw4gdcqds7zf34u","10"
"erd10f759zug8jpqx6r99uz5w8kltstkvzc06jd07ua3htvvt2lu6d9qla0775","10"
"erd1dh0ptfts4a0xxkkjk8ggsz8akh5ppgqmf4ze5sdt9andzyp6cx8sytypul","10"
"erd100d9yysenhz2saf6camw94px4xj06zy6jmhrcsvkar29ht3kvmaq9twccz","10"
"erd1cxg0cums4r9gaydlfgpqr8va9qu865x34cf47mtwfnnswf3qs3uqha706j","10"
"erd1jwfmc20gn9x0f00xnj665upkw95qdvkaf0k274pcswl09sxkee6swmmkw5","10"
"erd1uz80n026n8d32vu6mxws2dgq3wu9vfvs30v76ejc9g48wh2q80fqd4qznq","10"
"erd1ucp6wndz66qm424tnmtsta90ztfw3jlxr0d3w0h5qna2prdw5deqyd5dm7","10"
"erd1el59lqz49ze48qcpxmpwafdpxty62yd2x9jw5yrk9gwl7kwrxh0szhya2h","10"
"erd1cthdm4askdhg4lxdsy732aqxlj0xpg6glql5l0kdqswt6mt8fy8s8l4lsh","10"
"erd1aatyl0223h9yz2kr75qex3srg28ky8s634q26m497fx0wsr70kessgy3ak","10"
"erd17vgg9jgwqkjke3t2ldwjlyfynj7wdmetrl4d06ahpy7n3gje034qh7azwm","10"
"erd1lq5jwzkngpajkplc607s8wk8mgww4ycc7q66h5epaew6jaep548s6uyk4f","10"
"erd1vlxtcsewa9mzfme2c9llv348df69nvnz6fucn4dcdgaynv8nqw5s748k8t","10"
"erd1ysarll57a2gcn8qr8e8eu3560djrk8kddwpfr4a75t6ahwq92k3sg92qg0","10"
"erd1u2w9pcsp8zp779qrq0uaus3av05m4c2hrxlgc4g8z5lxf0v092jqw4d8fd","10"
"erd1pvdjchqu600f7r9j7qjzw9f8ta20lq5k7trmcc6qc60j73repkdq0y4nen","10"
"erd1fwn9ve7dze8np83w726hw4t0qqw58jlrjymaz5e4tjsmux63ez5s885mrw","10"
"erd1ku78rfdu5j4qur3fj0cej5xxptn22jkrc5gs66stwg8rrwl7mq5q6eu8c8","10"
"erd1a03cummjzy39yhfav5l6ku55l6c4w5xzk0unc5k04hmx4y3a00tqecdsg6","10"
"erd1anlzutdhnwxckj0rc6th9gwtuuhja96g5yaxm3y9mmhrt284te7qf5vjvp","10"
"erd1uvfgevmmdmvssf6eyqazu3qwr9pg24wg35sjxtyfu8ysm32g6v4qldh2h8","10"
"erd1t7z8uf3p0an2n4w289kkksk5gzh4vvn8lrz6gar0gfa0ufhgehnsrr0ss4","10"
"erd19hgk8xrvhf6xl2h4a0m0800auf36xlap4u4ej8lu5ylagh5w8xkqy2dtcq","10"
"erd14n9tn2q3fustt5375ehm9wlgxtaa2hqgzwd7z6rvzcj9sj8m65hsumwlkv","10"
"erd1n2ra6lmef9s5cn4lhv8xd3ydlyhn2lm2l6l68yqzgqfg85sryzcq8knq08","10"
"erd13ufp92up2e63w0w5yqhph4wa0p6wu8a5qk8cld5n2rnlv6af8ppqs8tqax","10"
"erd15rn3hxq9am4rl9sx2x0ksrdmnqvvluzy8zcq7wy3ss325qezx7cs4mg23a","10"
"erd1hqt74r8qw0k2dcsf249xpsjfsnlfj5jjngrmrtsvq6wvdufpccyqdpqp35","10"
"erd1hptql9cdvce0ta2a8wr4dh52vxl5kqs8qwy3w9crr4zptpq8knfqz6h3ht","10"
"erd1vnjnx2cmcp8gve3wys6fqx0njn7xkkns82ug2flml57lql497twqk4dwug","10"
"erd1jeklssjsmkxf44kqfxnw637rx9lpf5fwf3f35jnmzq04396q6g9qwx35m3","10"
"erd1js33nye7mxda0faga3uua7lgw39avt4cygu7rjuxvcj95tc2yz9s6v95dd","10"
"erd1mh7087n3w4e3jxdnl5tvf5x5h0lym840ehsr3r5jx4wevukumlzsqwxee9","10"
"erd1wx9mzdy8v5qp0cyt6yh554wqsrvcg7kqwyx5lxnxwedw4essrmeqvzp0rt","10"
"erd18hc3ah579s70le24cfgfkkl3upsreyg265rxxvtwwy7uefw8346q46ndd8","10"
"erd1g3hrr4afn07z5qtsctq9rlnz0kg0mh8as7g47znwgrcslncsakcqnf727r","10"
"erd1apfeuvuvsrdvl90w2xmexlqxa6qhcqu80zk9my5ry6x4vemfhp2qu4y96h","10"
"erd1alqunc7xpu2ka76jzupn3szjkffn674krg7hzqhgqahwphtte9rspzzn0m","10"
"erd1ejmd4q7s0aq3xkp42kk6pyct668afrgqxmdx8k6jv3fh6m9jcyjs4sxc7d","10"
"erd108lffupzxsrlwazddykl9m9q92gyfvmc9zh9peay98c8ucscgu2ssx2pxa","10"
"erd1swsj8lf5nhg4cpc6cnkyuwnmvkc7zs3f5l4saz65qaf6pdjxa7zqt9u29w","10"
"erd1hehe6ajkrgm9g98x4n9ag5k7zwzx2jmjsms0k7345uld40wmjr3swmjse5","10"
"erd1p87gmqvyx8y7c2uuwrv7fpkcr7p84q9d27fp26v38s3f7tuyladqker259","10"
"erd1cqanfz6pxvytwtshmwf9epfmcuvzdxvlmkjm5nn4v5407556rxyshs7qms","10"
"erd1wgflucg2y6j5p5dpevza590dk483spzv200kxrxy946n8zczakksfgksnc","10"
"erd1vcjftdykn0pxu5jg3hwrrx64ckvv64wme5upcgn0m0gwk93kql3syp65v5","10"
"erd1862dtr4rjw4p6e7q9c9k7keevh2yzpakpwpk6xkyhvn99gpt9ygq86ccpy","10"
"erd1myhtse0zuu8dn0rl4aw55jxvpz9dt82vayftf7kn4cdp0gxky2xs4uqr00","10"
"erd1udlfvceryky04wuk68apvl2hnyktd2hu90m349fst5seeyun4n2snc9rw0","10"
"erd1cmc3dntdgmaqnfjpl9mk9kzq237kwkakw9yhf8kcfjgplull0r8sd23hcl","10"
"erd1n32gvzc946h34sunrjxdm7l9mjyf7qkyk7fr9yxepqlsfafsyywql83fpt","10"
"erd1935nsvwspeqt8uszdzjm5c7ny50s4vrzh6hdw0n3k7tm6nnxr2sqfh066z","10"
"erd1pyn86nnthn0kcvfke735pa96ct2f3k62augvvhf4qk2tr9vqq6squqc6g2","10"
"erd1ctehecjswj0cemhqlqe23ktxg6gg2zxkg4gmclzqj6pzws5zj86sgcw26r","10"
"erd1xxanv27wdksd0afpejhs22thker8q8wjn5y48k6geaexgw659uqqrsx8t9","10"
"erd122rhnwaxw0klzz0yysy0wh6zvlvs0cwzwmqxrymgs2rufu629lpsjvzs9w","10"
"erd16zjq2stn652cl3nfl5udgkv8zd8kf34wy8zstva757d538x2780s22gxm8","10"
"erd1xx0xfh5nrwmcsc33xrsf4zq95qzksej0u3smag7c4tamjty67p7qn3jp6y","10"
"erd1k7uwcnuh83vlh4uvzny7du9m544mcfp0yjs5nkepu0kztxntf75ssywzth","10"
"erd1yhvfes6m0ew89tgpzhxt6lwdfl2dezgn69q3ndknxxp4p7duue3s6z3v0c","10"
"erd1q2nk8mr53nuttm26zlk76el65lvy4w775fyy79g0m9faxett6cfqfdwmkv","10"
"erd14ycfpnhnq0dlyt74g72wtgr6euw7vkw2xa3jjcqrmpzjt4kutlvqwfrg8n","10"
"erd1hgj3v7fwdwwyd5dcgys5sk628h0q5e3r8hm0dlaa9xr2e4ly0jdqpdf5dy","10"
"erd1wf2sy9paqpsl9uq5uwfq6grgvatx5xgufrukrnz49caf5kdm7u9qkxryzd","10"
"erd15mehuntf7vh4wgj005jf6y57d2rh90cw2farxs77yu82hsdj9q5skztzcn","10"
"erd123k8a2t8crq2gfgc4wdfqt8gd34u9gn2dqfzl4y0hcfptexk73wqcampgr","10"
"erd1d5qgum4l58xve6nyj3luly80c2vrelg3rk7x5s3wy6ddyd463mnqjpg0al","10"
"erd17v263rfcqqn0v2hr0ukext7zlchephzv40ceztuqzzme55hhqzvq0z7jf5","10"
"erd19f3tqa5yw24sas8rrawjjtv4vcxnu6cchsw5627pjh9denulkjms209rmy","10"
"erd1hg5lxf6elkvmszwc6ldeamfy6dt4emq58yncnl7r6da8peazgn6qle0xk3","10"
"erd162x7vus0ghuhqncx3660j4hzqcnyvm4eh3xvlr2zgzu7e7hlky4qww5jll","10"
"erd1xkqjatudvld9zeq9lz6e6dkkzezugl2c4uam60kq32dpuztjzhfsn99p88","10"
"erd12ag2fj88ve4eur27zd8yez2t4242wqcz63jvuff6wygh277qsklsk3vy3q","10"
"erd1dg3qwfuqsnjcn58wkhwz08ctlew87rx5w05uudf3uddrky9d5nzsux4839","10"
"erd1kacff6mdpeemrqhktfulttjmsmkyhfd0yesznv4vtr4v9psv8h6qnly3qa","10"
"erd1f2s5707mqwz8z6507z0pg9va8rw6tardzn2gpg9g0z80spezppcskhazqe","10"
"erd1npcwstg5yj4vesf4nrh579ax0j2hkjx6h7pp4sdmskc7aturz8ys8km9af","10"
"erd18pged2xd05y6me8ls4shjnus3hsaezh348c5mtezw4p0q654htyqxlyd7y","10"
"erd1a7pu603dlek8zllqc2za7tt5x8cvsfp2n4p76x3ggewnnxm9zy0qcrt38e","10"
"erd1fazlrhwqtpqjur04eszlxqlhtztldqn9vqzvczwtawknf4l5wc5slfxhha","10"
"erd1fn5ml02kvgeaqvuu3z26hmmlqztfq250up63athcnsyemzftaxsq3sz3pn","10"
"erd1xdf32xx78kp4w6jl00c6g89kyudup9tyytrrtj2ejsu68gw2vslqknppep","10"
"erd1dln2xtc5yn80qumjcsk98d2kvhwph67ukhj8gmtsdkhn94zshemsxwse8s","10"
"erd16ahnzmmu28jhm630m9pcsdvcnv2qv6qrw4wlmmge5sgtrtt7ecpqmhfq66","10"
"erd10r3zhfsdawcwysa54fha2jma0clmzmz7x88jf6nvsg5c0q3mmklq08c0cl","10"
"erd1mex3qsn8e535eu9fcz3mchvzwek4svqm88gqyfr8d59vypxc68ls6myntz","10"
"erd13pc27s3q0azjzkzt5xcjfawhvf2ujh05ev7m0er68umf0hmptfpqprex95","10"
"erd1qapweqf3lk3xssleug4rl4htcumlszhxlz3z2k7pmm96mgjns09sdkjujj","10"
"erd1tku27dfgffd5ugmzw390e7tz8zvlwf86g42je0ul9xsm0gn6zh4skcunv2","10"
